EmpNo,EmpPU,MasterCustomerCode,JoiningDate,MasterProjectCode,ProjectType,Onsite_Offshore,RoleMapping,TotalExpInYears,AsOfDate
1070917,USDELY,BANK01,12/16/2010,N306US,P(N30),Onsite,4,17.37,2025-09-30
1292781,LADELY,BFSI04,11/16/2024,T811ANZ,P(T81),Offshore,4,3.98,2025-09-30
564625,ANZDELY,INSUR01,12/21/2006,E412GL,P(E41),Offshore,4,20.78,2025-09-30
1451785,APDELY,CAPMT02,11/30/2021,K903GL,P(K90),Offshore,4,2.5,2025-09-30
1749269,USDELY,CAPMT02,11/13/2005,B194IN,P(B19),Offshore,5,22.0,2025-09-30
1186306,ANZDELY,CAPMT02,06/21/2024,D305UK,P(D30),Offshore,3,2.45,2025-09-30
277272,ANZDELY,CAPMT02,01/19/2016,N306ANZ,P(N30),Offshore,4,8.62,2025-09-30
1311621,INADELY,BANK02,12/10/2007,J802UK,P(J80),Onsite,6,19.9,2025-09-30
1650783,MEADELY,WEALTH02,02/21/2007,J802AP,P(J80),Onsite,6,21.38,2025-09-30
476477,USDELY,INSUR01,09/09/2013,R609IN,P(R60),Offshore,6,11.59,2025-09-30
845643,USDELY,BANK02,10/02/2015,D305AP,P(D30),Offshore,5,13.32,2025-09-30
1979723,ANZDELY,BANK02,11/28/2011,K903UK,P(K90),Offshore,3,13.98,2025-09-30
925184,EURDELY,CAPMT02,04/12/2017,T811US,P(T81),Onsite,6,7.1,2025-09-30
13546,UKDELY,BANK02,05/03/2016,U912EU,P(U91),Offshore,5,12.43,2025-09-30
1401224,INADELY,BFSI04,11/15/2013,L104GL,P(L10),Offshore,5,13.77,2025-09-30
412317,UKDELY,INSUR01,07/01/2013,P407UK,P(P40),Offshore,4,12.18,2025-09-30
911540,INADELY,BFSI05,11/09/2020,W114IN,P(W11),Offshore,5,5.86,2025-09-30
1391710,ANZDELY,BANK01,01/13/2015,T811HQ,P(T81),Offshore,3,10.3,2025-09-30
481105,INADELY,BFSI02,01/27/2002,F520ANZ,P(F52),Offshore,4,26.34,2025-09-30
965076,UKDELY,Others,03/23/2017,V013EU,P(V01),Offshore,5,10.22,2025-09-30
1882043,INADELY,BFSI01,10/25/2009,E412ME,P(E41),Offshore,4,16.93,2025-09-30
1178964,USDELY,BANK02,12/24/2005,E412LA,P(E41),Offshore,6,23.12,2025-09-30
1593874,MEADELY,WEALTH02,02/21/2019,W114GL,P(W11),Offshore,6,9.51,2025-09-30
953864,USDELY,BANK01,05/20/2023,J802AP,P(J80),Offshore,5,2.98,2025-09-30
501768,USDELY,INSUR01,08/13/2003,M205GL,P(M20),Offshore,4,24.02,2025-09-30
144697,UKDELY,Others,11/24/2020,M205GL,P(M20),Onsite,4,5.36,2025-09-30
1806697,MEADELY,CAPMT02,05/24/2021,V013ME,P(V01),Offshore,2,6.53,2025-09-30
1138730,INADELY,CAPMT01,11/22/2009,U912HQ,P(U91),Offshore,5,16.7,2025-09-30
714914,APDELY,CAPMT01,12/18/2020,P407UK,P(P40),Offshore,6,5.87,2025-09-30
1251289,EURDELY,CAPMT01,03/24/2019,B194US,P(B19),Offshore,4,5.19,2025-09-30
696508,USDELY,BFSI02,01/02/2017,M205IN,P(M20),Offshore,4,9.26,2025-09-30
996304,ANZDELY,BFSI01,09/12/2015,U912ANZ,P(U91),Onsite,4,13.25,2025-09-30
1591741,ANZDELY,BFSI03,11/29/2000,J802EU,P(J80),Offshore,5,25.62,2025-09-30
1192729,MEADELY,BFSI03,07/18/2016,R609AP,P(R60),Offshore,4,11.35,2025-09-30
1641147,INADELY,CAPMT01,02/24/2001,L104US,P(L10),Offshore,6,27.55,2025-09-30
841844,MEADELY,BFSI03,11/22/2010,H710US,P(H71),Offshore,3,17.52,2025-09-30
1679809,LADELY,BANK02,11/24/2023,C210IN,P(C21),Offshore,5,2.79,2025-09-30
36533,INADELY,BFSI04,06/12/2019,S710US,P(S71),Offshore,7,8.86,2025-09-30
923282,USDELY,INSUR03,02/21/2024,T811AP,P(T81),Offshore,5,4.15,2025-09-30
685921,INADELY,CAPMT01,03/21/2020,D305AP,P(D30),Offshore,4,6.99,2025-09-30
715474,ANZDELY,INSUR03,11/14/2021,M205UK,P(M20),Offshore,4,3.99,2025-09-30
1175578,ANZDELY,WEALTH02,10/29/2010,H710US,P(H71),Offshore,5,17.13,2025-09-30
1364556,INADELY,BANK03,03/04/2004,R609ANZ,P(R60),Offshore,4,21.2,2025-09-30
1002499,EURDELY,INSUR03,09/08/2024,N306ME,P(N30),Offshore,4,0.83,2025-09-30
493473,ANZDELY,INSUR01,05/12/2005,H710IN,P(H71),Offshore,5,22.25,2025-09-30
463791,INADELY,BANK01,07/14/2023,K903HQ,P(K90),Offshore,5,4.79,2025-09-30
487066,USDELY,BANK01,12/17/2023,L104ANZ,P(L10),Onsite,4,0.5,2025-09-30
1472590,MEADELY,BFSI05,07/19/2000,S710US,P(S71),Offshore,5,25.81,2025-09-30
117744,USDELY,BFSI01,12/06/2002,S710US,P(S71),Onsite,4,24.38,2025-09-30
328194,ANZDELY,INSUR02,10/27/2003,V013AP,P(V01),Onsite,Subcon,24.16,2025-09-30
1636747,EURDELY,BFSI01,05/03/2013,R609LA,P(R60),Offshore,6,12.35,2025-09-30
1288488,LADELY,BFSI02,06/19/2009,E412EU,P(E41),Onsite,4,15.89,2025-09-30
338272,ANZDELY,WEALTH01,01/29/2021,R609HQ,P(R60),Offshore,4,6.62,2025-09-30
159274,APDELY,INSUR03,11/15/2008,K903HQ,P(K90),Offshore,5,18.52,2025-09-30
1743571,ANZDELY,WEALTH01,10/18/2013,C210UK,L(LEV),Offshore,5,14.97,2025-09-30
270788,UKDELY,BFSI01,03/18/2012,L104ME,P(L10),Offshore,5,12.35,2025-09-30
1875254,UKDELY,Others,03/26/2011,M205HQ,P(M20),Offshore,3,16.3,2025-09-30
1613818,APDELY,WEALTH01,10/21/2001,K903HQ,P(K90),Onsite,5,24.95,2025-09-30
1931143,USDELY,BANK02,01/21/2022,V013ME,P(V01),Offshore,Subcon,4.15,2025-09-30
1415371,ANZDELY,BFSI01,06/19/2018,G601IN,P(G60),Offshore,5,10.42,2025-09-30
963839,ANZDELY,Others,03/14/2005,K903IN,P(K90),Offshore,Subcon,21.53,2025-09-30
1389213,INADELY,WEALTH01,06/07/2002,R609ME,P(R60),Offshore,4,25.51,2025-09-30
1603815,ANZDELY,BFSI03,11/16/2005,K903GL,P(K90),Offshore,6,21.78,2025-09-30
70543,LADELY,INSUR02,02/07/2007,W114EU,P(W11),Onsite,4,19.1,2025-09-30
1774555,MEADELY,INSUR03,11/27/2006,R609US,P(R60),Offshore,5,19.8,2025-09-30
881346,INADELY,BFSI04,06/27/2020,S710EU,P(S71),Offshore,5,8.28,2025-09-30
1821995,ANZDELY,WEALTH02,10/10/2022,Q508IN,P(Q50),Onsite,4,5.02,2025-09-30
1824582,ANZDELY,BANK02,06/25/2015,U912LA,P(U91),Offshore,4,10.57,2025-09-30
1833686,USDELY,WEALTH02,03/06/2017,J802HQ,P(J80),Offshore,4,7.2,2025-09-30
1488970,MEADELY,BANK02,10/28/2006,P407ME,P(P40),Onsite,5,19.85,2025-09-30
1833893,ANZDELY,BFSI04,08/05/2023,R609US,P(R60),Onsite,6,1.29,2025-09-30
166926,UKDELY,CAPMT01,10/30/2017,K903IN,P(K90),Offshore,5,10.59,2025-09-30
674086,APDELY,BANK01,08/11/2001,S710GL,P(S71),Offshore,5,25.97,2025-09-30
487073,INADELY,BFSI01,07/04/2004,Q508US,P(Q50),Offshore,5,24.17,2025-09-30
690262,INADELY,BFSI05,10/24/2016,L104IN,P(L10),Offshore,5,9.41,2025-09-30
366481,USDELY,INSUR03,10/20/2010,W114ME,P(W11),Offshore,5,14.52,2025-09-30
973789,USDELY,BANK03,11/25/2012,B194LA,P(B19),Onsite,5,13.47,2025-09-30
1242227,USDELY,WEALTH02,06/28/2020,Q508AP,P(Q50),Onsite,6,5.59,2025-09-30
233668,USDELY,CAPMT01,04/09/2013,V013IN,P(V01),Offshore,Subcon,15.78,2025-09-30
585627,ANZDELY,INSUR02,04/13/2022,C210HQ,P(C21),Offshore,6,5.76,2025-09-30
1283107,INADELY,BFSI04,03/30/2011,J802EU,P(J80),Offshore,5,16.21,2025-09-30
1327531,ANZDELY,BANK01,10/10/2019,C210AP,P(C21),Offshore,3,5.04,2025-09-30
695179,INADELY,INSUR03,12/05/2005,G601EU,P(G60),Offshore,6,20.06,2025-09-30
1751627,USDELY,INSUR02,03/12/2015,S710AP,P(S71),Offshore,6,9.34,2025-09-30
1813845,APDELY,BFSI03,05/28/2016,P407GL,P(P40),Offshore,3,9.08,2025-09-30
963755,USDELY,INSUR02,02/02/2017,K903HQ,L(LEV),Offshore,6,7.61,2025-09-30
998758,ANZDELY,BANK01,12/05/2009,U912IN,P(U91),Offshore,5,16.55,2025-09-30
1371553,UKDELY,BFSI04,09/01/2001,F520ANZ,P(F52),Offshore,4,22.98,2025-09-30
825049,UKDELY,CAPMT02,12/06/2006,U912ME,P(U91),Offshore,6,21.4,2025-09-30
1979337,LADELY,BFSI03,09/29/2009,C210IN,P(C21),Offshore,5,18.69,2025-09-30
1447975,USDELY,WEALTH01,11/10/2017,N306ANZ,P(N30),Offshore,4,11.05,2025-09-30
202253,APDELY,INSUR01,04/08/2002,W114ANZ,P(W11),Offshore,6,22.52,2025-09-30
153885,INADELY,Others,09/08/2009,U912EU,P(U91),Offshore,6,18.35,2025-09-30
591487,INADELY,Others,03/25/2024,F520UK,P(F52),Onsite,4,3.24,2025-09-30
286411,ANZDELY,CAPMT02,07/10/2014,J802HQ,P(J80),Offshore,2,10.27,2025-09-30
1113281,ANZDELY,INSUR02,02/09/2020,D305LA,P(D30),Offshore,5,4.6,2025-09-30
1992680,EURDELY,CAPMT01,07/18/2020,T811AP,P(T81),Onsite,5,8.61,2025-09-30
903960,APDELY,BFSI04,04/19/2003,S710LA,P(S71),Offshore,6,21.61,2025-09-30
586750,APDELY,CAPMT02,08/02/2014,V013GL,P(V01),Offshore,4,11.05,2025-09-30
217992,INADELY,WEALTH01,08/23/2009,E412GL,P(E41),Offshore,5,16.59,2025-09-30
846197,UKDELY,WEALTH02,02/22/2019,E412IN,P(E41),Offshore,4,9.79,2025-09-30
150788,ANZDELY,BFSI01,05/16/2019,D305US,P(D30),Offshore,3,8.85,2025-09-30
1239906,LADELY,CAPMT02,06/25/2005,U912IN,P(U91),Offshore,4,23.38,2025-09-30
1830521,MEADELY,WEALTH02,01/06/2014,C210AP,P(C21),Offshore,4,11.21,2025-09-30
480275,INADELY,CAPMT02,06/27/2016,N306GL,P(N30),Offshore,3,8.8,2025-09-30
1782418,EURDELY,INSUR03,12/21/2024,W114HQ,P(W11),Offshore,3,3.34,2025-09-30
70719,USDELY,CAPMT01,09/30/2015,L104IN,P(L10),Offshore,2,11.25,2025-09-30
155931,ANZDELY,BANK03,10/18/2023,B194US,P(B19),Offshore,4,2.07,2025-09-30
663550,INADELY,BFSI01,10/23/2003,V013HQ,P(V01),Onsite,6,24.12,2025-09-30
1423414,ANZDELY,BFSI03,10/14/2021,R609ME,P(R60),Offshore,5,3.45,2025-09-30
733879,UKDELY,BFSI01,10/29/2021,L104HQ,P(L10),Offshore,5,3.44,2025-09-30
26120,USDELY,CAPMT02,06/18/2011,H710UK,P(H71),Onsite,4,15.19,2025-09-30
378458,ANZDELY,CAPMT01,06/10/2022,U912EU,P(U91),Offshore,5,3.49,2025-09-30
1817250,INADELY,CAPMT01,08/15/2020,Q508ANZ,P(Q50),Offshore,6,6.42,2025-09-30
1497927,APDELY,WEALTH01,03/03/2018,L104US,P(L10),Offshore,3,10.0,2025-09-30
1754884,APDELY,BFSI02,08/04/2019,N306US,P(N30),Offshore,6,7.52,2025-09-30
839982,INADELY,INSUR01,12/09/2014,M205EU,P(M20),Onsite,6,12.39,2025-09-30
1909857,INADELY,BFSI04,08/07/2010,N306UK,P(N30),Offshore,3,14.43,2025-09-30
1604287,INADELY,BANK02,03/01/2022,D305UK,P(D30),Offshore,5,4.89,2025-09-30
1822457,LADELY,INSUR03,09/23/2019,M205UK,P(M20),Offshore,3,5.95,2025-09-30
1250297,ANZDELY,BANK01,12/03/2013,T811US,P(T81),Onsite,5,12.08,2025-09-30
170916,APDELY,BFSI01,09/29/2022,D305HQ,P(D30),Offshore,4,6.19,2025-09-30
953159,MEADELY,WEALTH01,06/03/2014,V013EU,P(V01),Offshore,5,14.53,2025-09-30
227059,INADELY,WEALTH01,08/19/2022,M205US,P(M20),Onsite,5,5.07,2025-09-30
1109051,EURDELY,BFSI01,09/21/2016,G601IN,P(G60),Offshore,6,11.31,2025-09-30
1665128,APDELY,BFSI04,10/15/2014,M205US,P(M20),Offshore,3,10.79,2025-09-30
709110,ANZDELY,BFSI02,11/30/2013,F520IN,L(LEV),Offshore,Subcon,12.21,2025-09-30
659240,EURDELY,Others,08/12/2023,M205UK,P(M20),Offshore,3,3.09,2025-09-30
770422,USDELY,BANK01,10/24/2021,H710IN,P(H71),Offshore,4,3.12,2025-09-30
1780894,INADELY,BFSI04,08/14/2023,T811GL,P(T81),Offshore,3,4.38,2025-09-30
1262516,USDELY,INSUR02,06/05/2007,G601UK,P(G60),Onsite,5,18.56,2025-09-30
941552,EURDELY,INSUR01,12/15/2023,R609EU,P(R60),Offshore,4,4.13,2025-09-30
781418,APDELY,CAPMT02,09/16/2020,V013LA,P(V01),Offshore,5,5.97,2025-09-30
349860,INADELY,BFSI03,03/20/2011,W114UK,P(W11),Offshore,3,14.8,2025-09-30
1501915,INADELY,BFSI04,10/06/2003,E412AP,P(E41),Offshore,5,24.92,2025-09-30
1752831,UKDELY,BANK03,09/06/2015,J802LA,P(J80),Offshore,6,10.46,2025-09-30
504462,USDELY,BANK02,01/26/2010,D305IN,P(D30),Offshore,3,18.29,2025-09-30
1669645,ANZDELY,WEALTH01,03/11/2021,C210AP,P(C21),Onsite,5,6.5,2025-09-30
1300478,ANZDELY,CAPMT02,06/25/2011,D305ANZ,P(D30),Onsite,4,17.38,2025-09-30
243175,INADELY,WEALTH01,06/19/2005,J802AP,P(J80),Offshore,3,22.66,2025-09-30
141716,ANZDELY,BFSI04,01/17/2024,S710HQ,P(S71),Offshore,2,1.33,2025-09-30
620841,UKDELY,BANK03,10/16/2010,W114IN,P(W11),Onsite,5,16.71,2025-09-30
151933,LADELY,CAPMT01,10/08/2022,U912GL,P(U91),Offshore,5,3.74,2025-09-30
792871,USDELY,BANK02,01/11/2003,B194IN,P(B19),Offshore,4,24.27,2025-09-30
289780,ANZDELY,WEALTH02,11/08/2007,U912IN,P(U91),Offshore,6,21.21,2025-09-30
1334846,USDELY,BFSI01,07/12/2020,F520US,P(F52),Onsite,3,7.59,2025-09-30
671852,MEADELY,BANK01,05/11/2024,T811ME,P(T81),Onsite,5,3.04,2025-09-30
758629,INADELY,WEALTH01,04/03/2012,C210IN,P(C21),Offshore,4,16.35,2025-09-30
1886190,LADELY,INSUR03,04/04/2022,M205UK,P(M20),Offshore,5,5.89,2025-09-30
1690129,ANZDELY,BANK02,04/26/2019,Q508US,P(Q50),Offshore,5,7.57,2025-09-30
225163,ANZDELY,BANK03,01/01/2020,L104AP,P(L10),Offshore,5,7.61,2025-09-30
947698,ANZDELY,BFSI02,07/06/2019,N306HQ,P(N30),Offshore,4,9.39,2025-09-30
1417574,APDELY,WEALTH01,03/06/2007,N306GL,P(N30),Onsite,7,20.02,2025-09-30
82978,ANZDELY,WEALTH01,03/30/2016,J802IN,P(J80),Offshore,4,10.94,2025-09-30
1999827,USDELY,INSUR02,03/05/2006,R609US,P(R60),Offshore,5,21.23,2025-09-30
247918,ANZDELY,INSUR03,03/23/2023,G601LA,P(G60),Offshore,4,2.25,2025-09-30
1486474,UKDELY,BFSI05,01/12/2022,W114AP,P(W11),Onsite,4,2.5,2025-09-30
1894666,INADELY,BANK01,08/02/2015,D305IN,P(D30),Offshore,5,10.03,2025-09-30
1795435,USDELY,INSUR02,10/27/2022,G601IN,P(G60),Offshore,4,5.3,2025-09-30
1667532,UKDELY,BFSI02,07/19/2016,N306GL,P(N30),Offshore,5,8.26,2025-09-30
147883,USDELY,BANK02,06/05/2018,S710GL,P(S71),Offshore,5,6.1,2025-09-30
1357081,ANZDELY,BFSI05,06/15/2015,R609GL,P(R60),Offshore,4,11.46,2025-09-30
1620154,LADELY,BFSI05,06/26/2002,Q508GL,P(Q50),Offshore,6,23.2,2025-09-30
686668,MEADELY,INSUR03,04/11/2023,J802IN,P(J80),Offshore,6,2.14,2025-09-30
272501,APDELY,BFSI04,03/10/2004,W114GL,P(W11),Onsite,5,24.68,2025-09-30
369033,APDELY,INSUR03,04/13/2025,W114IN,P(W11),Offshore,3,0.5,2025-09-30
1375518,USDELY,BANK01,05/11/2001,V013ME,P(V01),Offshore,5,24.25,2025-09-30
1022808,USDELY,WEALTH02,05/05/2020,P407AP,P(P40),Onsite,3,6.02,2025-09-30
984005,USDELY,BANK03,01/08/2014,W114UK,P(W11),Offshore,6,15.08,2025-09-30
846169,ANZDELY,WEALTH01,03/12/2025,N306GL,P(N30),Offshore,3,0.5,2025-09-30
529923,ANZDELY,BFSI05,03/25/2017,C210AP,P(C21),Offshore,6,11.74,2025-09-30
1715986,USDELY,WEALTH02,07/07/2008,V013IN,P(V01),Offshore,5,18.22,2025-09-30
1853555,USDELY,BANK03,08/21/2017,B194US,P(B19),Offshore,5,7.6,2025-09-30
112043,ANZDELY,BFSI04,02/09/2021,S710HQ,P(S71),Onsite,4,3.59,2025-09-30
1860643,USDELY,BANK03,05/31/2016,N306ME,P(N30),Onsite,3,10.56,2025-09-30
1170192,USDELY,BFSI03,03/14/2020,P407GL,P(P40),Offshore,5,8.91,2025-09-30
279826,LADELY,CAPMT01,03/18/2015,P407IN,P(P40),Offshore,5,9.67,2025-09-30
1058739,ANZDELY,BFSI04,12/09/2014,C210UK,P(C21),Offshore,6,9.97,2025-09-30
697794,MEADELY,BANK02,08/17/2017,M205UK,P(M20),Offshore,Subcon,8.03,2025-09-30
1073916,INADELY,BFSI03,04/01/2025,U912LA,P(U91),Offshore,4,0.75,2025-09-30
883548,EURDELY,INSUR02,04/15/2021,B194HQ,P(B19),Offshore,4,7.73,2025-09-30
1522885,ANZDELY,BFSI04,07/08/2023,S710UK,P(S71),Offshore,5,4.85,2025-09-30
1733148,APDELY,CAPMT02,12/05/2004,C210HQ,P(C21),Offshore,4,21.33,2025-09-30
1458084,USDELY,BFSI04,02/25/2021,T811HQ,P(T81),Offshore,6,3.32,2025-09-30
1097757,USDELY,BANK02,07/28/2023,M205LA,P(M20),Offshore,4,2.89,2025-09-30
1155617,USDELY,INSUR02,09/19/2021,K903HQ,P(K90),Offshore,4,5.23,2025-09-30
1984438,LADELY,INSUR03,04/19/2009,L104AP,P(L10),Offshore,5,17.26,2025-09-30
613538,ANZDELY,BANK01,09/12/2017,U912ME,P(U91),Offshore,6,10.49,2025-09-30
98219,USDELY,INSUR03,11/04/2019,D305IN,P(D30),Offshore,5,5.39,2025-09-30
1966693,EURDELY,INSUR02,11/24/2004,K903UK,P(K90),Offshore,5,20.47,2025-09-30
1347866,USDELY,Others,10/25/2014,E412ME,L(LEV),Onsite,5,13.2,2025-09-30
1164172,LADELY,BANK02,05/03/2021,G601ME,P(G60),Onsite,5,7.64,2025-09-30
608559,APDELY,BFSI05,06/01/2010,D305HQ,P(D30),Offshore,5,18.43,2025-09-30
886368,MEADELY,BANK01,10/22/2017,G601ANZ,P(G60),Onsite,6,10.1,2025-09-30
1848663,ANZDELY,WEALTH02,10/24/2004,L104HQ,P(L10),Offshore,6,21.62,2025-09-30
1874913,MEADELY,WEALTH01,03/28/2012,T811LA,P(T81),Onsite,4,12.73,2025-09-30
1369552,USDELY,BFSI05,02/14/2015,G601ANZ,P(G60),Offshore,6,12.83,2025-09-30
1291264,INADELY,BFSI04,02/11/2023,P407ME,P(P40),Offshore,4,1.52,2025-09-30
1011293,USDELY,BANK02,09/12/2011,J802ANZ,P(J80),Offshore,4,13.8,2025-09-30
643226,EURDELY,BFSI03,09/25/2011,V013ANZ,B(BCH),Offshore,5,12.74,2025-09-30
986004,USDELY,BANK03,12/13/2013,P407GL,P(P40),Offshore,5,14.91,2025-09-30
1298962,USDELY,WEALTH02,11/14/2006,F520LA,P(F52),Offshore,5,19.16,2025-09-30
1598279,EURDELY,BFSI03,09/03/2003,H710EU,P(H71),Offshore,5,22.3,2025-09-30
139516,INADELY,BFSI03,01/27/2024,T811EU,P(T81),Offshore,4,2.69,2025-09-30
1436682,USDELY,BFSI04,01/29/2004,V013LA,P(V01),Offshore,6,20.36,2025-09-30
1086358,UKDELY,CAPMT01,01/24/2025,V013ANZ,P(V01),Offshore,5,2.71,2025-09-30
543635,INADELY,BFSI01,04/11/2003,H710HQ,L(LEV),Offshore,3,21.2,2025-09-30
1969962,MEADELY,CAPMT02,11/16/2012,S710ANZ,P(S71),Offshore,4,15.11,2025-09-30
795301,LADELY,BFSI04,12/06/2016,P407LA,P(P40),Offshore,4,10.54,2025-09-30
1380560,INADELY,Others,02/06/2024,E412UK,P(E41),Onsite,4,4.96,2025-09-30
1595823,ANZDELY,WEALTH01,06/03/2024,L104LA,P(L10),Offshore,5,0.89,2025-09-30
735949,USDELY,Others,06/11/2001,H710US,P(H71),Offshore,6,26.55,2025-09-30
514713,USDELY,INSUR02,07/04/2001,E412HQ,P(E41),Offshore,5,27.02,2025-09-30
1563027,ANZDELY,BANK01,03/18/2024,R609EU,P(R60),Offshore,4,0.5,2025-09-30
501072,INADELY,INSUR02,05/20/2014,V013IN,P(V01),Offshore,4,14.71,2025-09-30
877298,USDELY,BANK03,11/09/2007,C210GL,P(C21),Offshore,5,18.78,2025-09-30
1984649,APDELY,BFSI05,04/19/2014,P407GL,P(P40),Offshore,5,11.36,2025-09-30
1592125,EURDELY,BFSI01,06/28/2013,J802EU,P(J80),Onsite,6,12.99,2025-09-30
1189408,UKDELY,BFSI02,10/10/2023,Q508GL,P(Q50),Offshore,4,1.4,2025-09-30
1944048,UKDELY,BFSI01,01/10/2024,N306US,P(N30),Onsite,5,1.48,2025-09-30
1842114,ANZDELY,Others,09/25/2009,V013GL,P(V01),Offshore,5,16.09,2025-09-30
454193,MEADELY,INSUR02,11/18/2010,E412LA,P(E41),Offshore,5,15.26,2025-09-30
1167794,USDELY,WEALTH02,11/30/2020,L104ME,P(L10),Offshore,5,4.55,2025-09-30
987281,ANZDELY,INSUR02,02/10/2009,S710IN,P(S71),Offshore,4,17.86,2025-09-30
1564518,ANZDELY,INSUR02,09/24/2018,K903GL,P(K90),Onsite,4,6.58,2025-09-30
1057111,EURDELY,BFSI05,12/01/2021,M205AP,P(M20),Offshore,Subcon,4.7,2025-09-30
1546734,INADELY,BFSI01,07/07/2024,G601UK,P(G60),Offshore,5,2.36,2025-09-30
1108791,ANZDELY,BFSI04,04/14/2000,D305ANZ,P(D30),Offshore,4,25.03,2025-09-30
29171,USDELY,WEALTH02,09/17/2002,R609IN,P(R60),Offshore,5,24.53,2025-09-30
1392619,UKDELY,BANK01,09/29/2024,B194GL,P(B19),Onsite,4,3.03,2025-09-30
45950,UKDELY,INSUR03,10/19/2004,Q508UK,P(Q50),Offshore,6,20.57,2025-09-30
1719628,USDELY,INSUR02,09/25/2016,P407US,P(P40),Offshore,7,8.64,2025-09-30
639092,APDELY,Others,03/11/2004,D305ANZ,P(D30),Offshore,4,22.35,2025-09-30
1483973,USDELY,BFSI01,11/10/2014,S710ME,P(S71),Offshore,5,9.78,2025-09-30
491855,USDELY,BFSI01,02/28/2012,V013LA,P(V01),Onsite,3,16.63,2025-09-30
386133,MEADELY,CAPMT01,04/17/2009,M205ANZ,P(M20),Offshore,5,18.43,2025-09-30
1957991,ANZDELY,BANK02,10/14/2010,G601HQ,P(G60),Offshore,5,16.76,2025-09-30
814983,INADELY,INSUR02,06/18/2022,F520US,P(F52),Offshore,5,2.19,2025-09-30
1768828,ANZDELY,WEALTH01,10/17/2017,W114HQ,P(W11),Offshore,Subcon,9.54,2025-09-30
1038870,USDELY,BANK01,05/16/2019,U912ME,P(U91),Offshore,4,6.69,2025-09-30
1683643,USDELY,CAPMT01,01/08/2012,D305US,P(D30),Offshore,4,15.31,2025-09-30
674122,USDELY,BFSI02,10/29/2013,D305ANZ,P(D30),Offshore,5,10.85,2025-09-30
